N,N_pos,N_neg,ratio,disc_pos,disc_neg,a,b,mcnemar_reject_rate,stratified_reject_rate,mcnemar_se,stratified_se,mcnemar_var_mean,stratified_var_mean,var_ratio_mean,var_ratio_std,power_diff,n_sim,part,part_name,effect_type,ab_squared,delta_acc_true,expected_disc_count
100,50,50,1.0,0.5,0.5,0.15,-0.15,0.045,0.05556,0.0009270922284217466,0.0010244323930840922,0.005002896,0.00468215512,1.070401281533173,0.05249307376753067,0.01056,50000,2,Disc_x_Hetero,disc_0.5_ab_0.09,0.09,0.0,
100,50,50,1.0,0.2,0.2,0.2,-0.2,0.02938,0.05764,0.0007552061387462366,0.0010422824031902293,0.0019980120000000004,0.00156687768,1.2658958357925483,0.0668592015133082,0.028259999999999997,50000,2,Disc_x_Hetero,disc_0.2_ab_0.16,0.16,0.0,
100,50,50,1.0,0.3,0.3,0.2,-0.2,0.03846,0.05676,0.0008600096325041946,0.0010347782603050762,0.0029973599999999997,0.0025463912799999996,1.1784741839682178,0.0825937602054142,0.018299999999999997,50000,2,Disc_x_Hetero,disc_0.3_ab_0.16,0.16,0.0,
100,50,50,1.0,0.4,0.4,0.2,-0.2,0.04046,0.05622,0.0008811695455472801,0.0010301389382020272,0.004000493999999999,0.00352845956,1.1367682876978227,0.07664541180899788,0.015759999999999996,50000,2,Disc_x_Hetero,disc_0.4_ab_0.16,0.16,0.0,
100,50,50,1.0,0.5,0.5,0.2,-0.2,0.04104,0.05576,0.0008871946618414699,0.0010261658969192068,0.005001414,0.00450934676,1.1123342221560033,0.07053878727989293,0.014719999999999997,50000,2,Disc_x_Hetero,disc_0.5_ab_0.16,0.16,0.0,
100,50,50,1.0,0.3,0.3,0.25,-0.25,0.02914,0.0556,0.0007522082211728346,0.0010247793908934742,0.00299976,0.0023282182399999994,1.2879203301090674,0.09885741839141537,0.026459999999999997,50000,2,Disc_x_Hetero,disc_0.3_ab_0.25,0.25,0.0,
100,50,50,1.0,0.4,0.4,0.25,-0.25,0.03292,0.05634,0.0007979507954755105,0.0010311721912464474,0.004001908,0.0033068265599999996,1.214388029641282,0.09819702603088921,0.023420000000000003,50000,2,Disc_x_Hetero,disc_0.4_ab_0.25,0.25,0.0,
100,50,50,1.0,0.5,0.5,0.25,-0.25,0.03524,0.05448,0.000824598598106982,0.0010150066955444184,0.0050005299999999996,0.004285400599999999,1.1718930594209924,0.0913553329300987,0.01924,50000,2,Disc_x_Hetero,disc_0.5_ab_0.25,0.25,0.0,
200,100,100,1.0,0.1,0.1,0.0,-0.0,0.0525,0.0544,0.0009974342083566214,0.0010143040964129052,0.0005005015,0.0004955065350000001,1.010160573661617,0.01008194100952054,0.001899999999999999,50000,2,Disc_x_Hetero,disc_0.1_ab_0.0,0.0,0.0,
200,100,100,1.0,0.2,0.2,0.0,-0.0,0.0497,0.05346,0.000971904419168881,0.0010060022703751717,0.0010010935000000002,0.0009910921650000003,1.0101770967097212,0.01022538323022807,0.0037599999999999995,50000,2,Disc_x_Hetero,disc_0.2_ab_0.0,0.0,0.0,
200,100,100,1.0,0.3,0.3,0.0,-0.0,0.0491,0.05272,0.0009663248936046302,0.0009994058394866422,0.0015003105000000003,0.0014854245550000001,1.0101286131557443,0.010243087378592758,0.003620000000000005,50000,2,Disc_x_Hetero,disc_0.3_ab_0.0,0.0,0.0,
