N,N_pos,N_neg,ratio,disc_pos,disc_neg,a,b,ab_squared,delta_BA_true,reject_rate,reject_se,z_mean,z_std,var_BA_mean,delta_BA_mean,delta_BA_std,n_sim,part,part_name,type,effect_type,expected_disc_count,N_minority
100,50,50,1.0,0.5,0.5,0.1,0.1,0.0,0.1,0.3086,0.0020657494523779983,1.4548272640211761,1.0321165039297344,0.004801682840000001,0.09991860000000001,0.06989706269965856,50000,3,Power_Ratio,Power,ratio=1.0_dBA=0.10,,
100,50,50,1.0,0.5,0.5,0.15,0.15,0.0,0.15,0.5916,0.0021982240104229597,2.2131480806694683,1.0485781300015036,0.00468023676,0.15001740000000002,0.06896449591811717,50000,3,Power_Ratio,Power,ratio=1.0_dBA=0.15,,
100,50,50,1.0,0.5,0.5,0.2,0.2,0.0,0.2,0.83532,0.001658677169312944,3.0019296091517655,1.0776973223258013,0.00451011456,0.199752,0.06799578292806106,50000,3,Power_Ratio,Power,ratio=1.0_dBA=0.20,,
100,33,67,0.5,0.5,0.5,0.05,0.05,0.0,0.05,0.1157,0.001430479010681387,0.6859994842049584,1.0398494607161066,0.005482037549996725,0.050102315694255994,0.07542063948645948,50000,3,Power_Ratio,Power,ratio=0.5_dBA=0.05,,
100,33,67,0.5,0.5,0.5,0.1,0.1,0.0,0.1,0.2826,0.002013639689716112,1.3745469245476907,1.0463015036115932,0.005407071097311002,0.09977258254183627,0.07453901073701658,50000,3,Power_Ratio,Power,ratio=0.5_dBA=0.10,,
100,33,67,0.5,0.5,0.5,0.15,0.15,0.0,0.15,0.54198,0.0022281727024627152,2.09463155436837,1.0651268645522902,0.005264864179483927,0.1500119719583899,0.07345328451252131,50000,3,Power_Ratio,Power,ratio=0.5_dBA=0.15,,
100,33,67,0.5,0.5,0.5,0.2,0.2,0.0,0.2,0.78984,0.0018220470597654717,2.841162980962046,1.0919366940772317,0.0050663088239995225,0.1996159430122117,0.07195583251291998,50000,3,Power_Ratio,Power,ratio=0.5_dBA=0.20,,
100,23,77,0.3,0.5,0.5,0.05,0.05,0.0,0.05,0.10774,0.0013865936131397694,0.6214057897275329,1.0584932711275705,0.006759994158871238,0.0500057481648786,0.08412997340547933,50000,3,Power_Ratio,Power,ratio=0.3_dBA=0.05,,
100,23,77,0.3,0.5,0.5,0.1,0.1,0.0,0.1,0.24546,0.001924626656783076,1.2467723243639417,1.0674889504724616,0.006666559971070627,0.09975935064935065,0.08315843733740193,50000,3,Power_Ratio,Power,ratio=0.3_dBA=0.10,,
100,23,77,0.3,0.5,0.5,0.15,0.15,0.0,0.15,0.46378,0.0022301933171812705,1.896754389409086,1.0926953999034559,0.006495663244270994,0.14970095426312818,0.08201987270430995,50000,3,Power_Ratio,Power,ratio=0.3_dBA=0.15,,
100,23,77,0.3,0.5,0.5,0.2,0.2,0.0,0.2,0.7015,0.002046449364142685,2.583100975749729,1.1307236713619062,0.006248865218372053,0.19994149632975722,0.08070610671107672,50000,3,Power_Ratio,Power,ratio=0.3_dBA=0.20,,
100,17,83,0.2,0.5,0.5,0.05,0.05,0.0,0.05,0.10706,0.0013827375484885046,0.5707757026572003,1.0835750854161332,0.008368658345220782,0.05061869596031184,0.0941465208231051,50000,3,Power_Ratio,Power,ratio=0.2_dBA=0.05,,
100,17,83,0.2,0.5,0.5,0.1,0.1,0.0,0.1,0.2148,0.0018366325707664013,1.1356792586096083,1.0929429454514508,0.008243052762967882,0.09993636428065202,0.09278133949009829,50000,3,Power_Ratio,Power,ratio=0.2_dBA=0.10,,
100,17,83,0.2,0.5,0.5,0.15,0.15,0.0,0.15,0.39786,0.0021889148928179005,1.7307244856909214,1.1246179587194907,0.008016782587457964,0.15011433026222537,0.09159097903316589,50000,3,Power_Ratio,Power,ratio=0.2_dBA=0.15,,
100,17,83,0.2,0.5,0.5,0.2,0.2,0.0,0.2,0.61288,0.002178339301394528,2.339194314922395,1.1739060657127796,0.007742087710279168,0.19930318922749823,0.09071596013939501,50000,3,Power_Ratio,Power,ratio=0.2_dBA=0.20,,
100,9,91,0.1,0.5,0.5,0.05,0.05,0.0,0.05,0.11654,0.0014349803371475165,0.45124232823043975,1.1822583037481562,0.01367479980241639,0.04889407814407814,0.12282844935689685,50000,3,Power_Ratio,Power,ratio=0.1_dBA=0.05,,
100,9,91,0.1,0.5,0.5,0.1,0.1,0.0,0.1,0.18642,0.0017416519950897193,0.9338754610865069,1.2115306263659553,0.013385878137659322,0.10007819291819291,0.12170658654435655,50000,3,Power_Ratio,Power,ratio=0.1_dBA=0.10,,
100,9,91,0.1,0.5,0.5,0.15,0.15,0.0,0.15,0.30104,0.0020514137486133802,1.4235311702531281,1.2543136322696475,0.013096975910886512,0.1509586568986569,0.12079616748372408,50000,3,Power_Ratio,Power,ratio=0.1_dBA=0.15,,
100,9,91,0.1,0.5,0.5,0.2,0.2,0.0,0.2,0.44492,0.002222458969700003,1.9243107397681116,1.3053427393972767,0.012608320044170339,0.20002438339438341,0.11804455348534028,50000,3,Power_Ratio,Power,ratio=0.1_dBA=0.20,,
200,100,100,1.0,0.5,0.5,0.05,0.05,0.0,0.05,0.17578,0.0017022420015967176,1.0130173731359877,1.0124265769266836,0.002462480215,0.05004770000000001,0.04981520073943294,50000,3,Power_Ratio,Power,ratio=1.0_dBA=0.05,,
200,100,100,1.0,0.5,0.5,0.1,0.1,0.0,0.1,0.53092,0.002231788312542209,2.0403012637144164,1.0184362448813562,0.002424559505,0.1000293,0.04927754703219307,50000,3,Power_Ratio,Power,ratio=1.0_dBA=0.10,,
200,100,100,1.0,0.5,0.5,0.15,0.15,0.0,0.15,0.8652,0.0015272783636259633,3.096004818285114,1.0396139091254564,0.002363040615,0.1498259,0.04884983305181298,50000,3,Power_Ratio,Power,ratio=1.0_dBA=0.15,,
200,100,100,1.0,0.5,0.5,0.2,0.2,0.0,0.2,0.98468,0.0005492776638458914,4.2107892076831686,1.067752672951625,0.0022763691349999998,0.19997790000000001,0.0481341563922128,50000,3,Power_Ratio,Power,ratio=1.0_dBA=0.20,,
200,67,133,0.5,0.5,0.5,0.05,0.05,0.0,0.05,0.16192,0.0016474338444987708,0.9600429925424204,1.0126531726859567,0.002757940039022278,0.05011730221075076,0.052575719404125684,50000,3,Power_Ratio,Power,ratio=0.5_dBA=0.05,,
